Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2024-12-01 09:50","3912","5095","0","456","4069","820","-102","3855","11","453","2088","0","-9","-1105","0","1949","0","0","18","2982",
"2024-12-01 09:55","3893","5095","0","460","4031","950","-102","4152","11","453","2093","0","0","-1110","0","1986","0","108","18","2702",
"2024-12-01 10:00","3851","5092","0","456","3921","651","-116","4378","11","451","2086","0","0","-1354","0","1981","0","42","18","3097",
"2024-12-01 10:05","3720","5091","0","441","3891","377","-124","4667","11","447","2080","0","-48","-1681","0","2116","0","0","18","3354",
"2024-12-01 10:10","3711","5093","0","443","3630","249","-124","4794","11","447","2081","0","-95","-1668","0","2032","0","0","19","3510",
"2024-12-01 10:15","3576","5096","0","445","3509","499","-124","4978","11","447","2087","0","-32","-1628","0","2189","0","0","19","3337",
"2024-12-01 10:20","3424","5095","0","444","3523","550","-124","5272","11","447","2051","0","-162","-1734","0","2467","0","0","19","3116",
"2024-12-01 10:25","3325","5091","0","442","3544","365","-124","5555","11","447","2085","0","-173","-1666","0","2230","0","0","19","3412",
"2024-12-01 10:30","3294","5090","0","444","3571","126","-124","5784","11","447","2090","0","-142","-1706","0","1995","0","0","19","3401",
"2024-12-01 10:35","3326","5090","0","445","3596","187","-124","6033","11","447","2083","0","0","-1714","0","1895","0","15","19","3181",
"2024-12-01 10:40","3245","5090","0","442","3516","285","-124","6390","11","447","2077","0","0","-1697","0","2048","0","6","19","3027",
"2024-12-01 10:45","3261","5087","0","440","3590","207","-124","6464","11","447","2085","0","-107","-1656","0","1952","0","0","19","3064",
"2024-12-01 10:50","3204","5095","0","440","3626","9","-124","6712","11","447","2069","0","-107","-1618","0","1772","0","0","19","3103",
"2024-12-01 10:55","3205","5095","0","440","3626","156","-124","6880","11","447","2076","0","-157","-1705","0","2028","0","0","19","2913",
"2024-12-01 11:00","3141","5093","0","441","3643","-276","-128","7034","11","447","2035","0","-199","-2007","0","1950","0","0","19","3067",
"2024-12-01 11:05","3178","5092","0","441","3756","-152","-128","6853","11","437","2076","0","-132","-2281","0","2280","0","0","19","3093",
"2024-12-01 11:10","3202","5094","0","448","3699","-238","-128","6901","11","437","2075","0","-231","-2302","0","2315","0","0","19","3195",
"2024-12-01 11:15","3132","5093","0","448","3654","-754","-128","6999","11","437","2077","0","-257","-2291","0","1814","0","0","19","3376",
"2024-12-01 11:20","3075","5088","0","448","3609","-802","-128","7193","11","437","2063","0","-184","-2357","0","1780","0","0","19","3220",
"2024-12-01 11:25","3083","5088","0","453","3471","-974","-128","7349","11","437","2071","0","-324","-2359","0","1738","0","0","19","3319",
"2024-12-01 11:30","3090","5096","0","452","3303","-787","-128","7362","11","437","2079","0","-255","-2269","0","1757","0","0","19","3276",
"2024-12-01 11:35","3114","5091","0","448","3288","-978","-128","7389","11","437","2071","0","-211","-2386","0","1638","0","0","19","3274",
"2024-12-01 11:40","3114","5094","0","456","3288","-695","-128","7272","11","437","2075","0","-192","-2243","0","1760","0","0","18","3261",
"2024-12-01 11:45","3128","5091","0","467","3241","-774","-128","7385","11","437","2038","0","-285","-2441","0","1972","0","0","19","3064",
"2024-12-01 11:50","3130","5091","0","473","3173","-819","-128","7631","13","437","2073","0","-145","-2423","0","1768","0","0","19","2921",
"2024-12-01 11:55","3101","5093","0","481","3165","-926","-128","7791","14","437","2076","0","-231","-2451","0","1775","0","0","18","2884",
"2024-12-01 12:00","3103","5093","0","514","3065","-756","-120","7809","15","432","2075","0","-119","-2471","0","1868","0","0","18","2723",
"2024-12-01 12:05","3060","5093","0","527","3122","-553","-102","7775","16","438","2034","0","-214","-2124","0","1804","0","0","19","2653",
"2024-12-01 12:10","3032","5089","0","530","3162","-620","-102","7792","17","438","2071","0","-391","-2058","0","1848","0","0","18","2592",
"2024-12-01 12:15","3074","5090","0","529","3139","-681","-102","7944","17","438","2072","0","-346","-2331","0","2025","0","0","19","2508",
